I know I'm late to the party on this one, but if you saw yesterday's video you know
what's going on already.
So let's talk about the city bike controversy that went down back on May 14th.
Tariq Nasheed, the buckbroken himself, posted this viral tweet.
A suspected white supremacist woman tried to steal a city bike from a black kid after
he paid for it, and when him and his friends wouldn't allow her to steal it, she went
through all the Karen tactics to try to get the black youths hemmed up, screaming for
help, fake crying, mayo babbling.
At this point, if you've paid attention you've at least seen the original video, but let's
watch it anyway.
It's pretty short.
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
This is not your bike!
Does the person who's posting this clip want me to come to a specific conclusion that is
good for them?
Could they have left out context, while not outright lying, that would weaken their position
if it was included?
The Citi Bike footage doesn't contain much in it on its own that points to either party
being guilty.
But the fact that a known race hustler like Tariq Nasheed came out so strong with this
bullshit makes me think that there's an angle here.
In any case, because when it comes to online hate mobs, things are leaning leftward right
now.
This person was branded on Twitter and TikTok as a racist Karen who was trying to steal
from these poor innocent black youths.
She's a nurse at Bellevue Hospital and as a result of the viral clip, the hospital announced
that they were investigating her.
You know what?
I feel the same way about this as I did about Bodega Bro from before.
Why the fuck are people getting fired for what they do off the clock?
Random nurses and engineers aren't the same as being a front man for a company.
When you punch out, your boss has no business controlling what you do.
And despite the anti-capitalist bent of the left, they're the ones who normalize this
bullshit of corpos firing you arbitrarily for what you do off the clock.
It's like I've been saying this whole time now, the fungible economics that the left
hates are necessary to create the fungible culture that the left wants.
Now it did ultimately turn out that the woman had paid for the bike, not the black kid.
But before we get into that conversation, let me quickly explain how City Bike works.
In some larger cities, you'll find a bunch of identical bikes locked up in public terminals
like this.
Sometimes it's a publicly owned operation, generally tied to that city's transit service,
like LA's Metro Bike.
Sometimes it's a private company providing the service, like City Bike in New York, which
is where the viral video took place.
But the idea is the same either way.
There's a bunch of terminals across the city with bikes that are locked up.
You've got an account with the service, and sometimes you have a card, sometimes an
app on your phone.
You go to the terminal, you scan your account, you take a bike out, and then you can return
the bike to any other terminal in the city.
It doesn't have to be the one that you grabbed it from.
Some services charge for how long the bike is undocked, some for how far you travel.
Some just have a flat monthly fee, but they all allow you to pick up and dock bikes at
any terminal in the city, which is an important part of this conversation.
The nurse ended up producing receipts, through her lawyer because, of course, she almost
got fired for a fucking viral clip.
I don't blame her for retaining one.
The receipts showed that she was indeed the person who had rented out the City Bike in
question.
She claimed that after a 12-hour shift at the hospital, she went to a nearby City Bike
dock, with bikes that were docked and available for rent, and paid for a bike through the
City Bike app on her phone.
As she backed it up from the docking station, a group of five people approached her and
